reporting_period,province,district,program_id,program_name,indicator_code,indicator_name,reported_value,target_value,reporting_officer,submission_date,submission_status,ministry,is_valid_geo,source_file,ingestion_timestamp
2025M01,Lusaka,Lusaka,MGEE003,Forestry Restoration,MGEE_IND_005,Environmental Compliance Reviews,178.0,169.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE004,Green Economy,MGEE_IND_001,Environmental Inspections,1258.0,1269.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE004,Green Economy,MGEE_IND_002,Climate Adaptation Activities,763.0,812.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE004,Green Economy,MGEE_IND_003,Community Trainings Conducted,1862.0,2182.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE004,Green Economy,MGEE_IND_004,Forestry Restoration Projects,127.0,135.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE004,Green Economy,MGEE_IND_005,Environmental Compliance Reviews,384.0,423.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE001,Climate Adaptation,MGEE_IND_001,Environmental Inspections,1088.0,1133.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE001,Climate Adaptation,MGEE_IND_002,Climate Adaptation Activities,959.0,1032.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE001,Climate Adaptation,MGEE_IND_003,Community Trainings Conducted,786.0,727.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE001,Climate Adaptation,MGEE_IND_004,Forestry Restoration Projects,586.0,676.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE001,Climate Adaptation,MGEE_IND_005,Environmental Compliance Reviews,657.0,761.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE002,Environmental Compliance,MGEE_IND_001,Environmental Inspections,1460.0,1708.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE002,Environmental Compliance,MGEE_IND_002,Climate Adaptation Activities,1237.0,1201.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE002,Environmental Compliance,MGEE_IND_003,Community Trainings Conducted,1042.0,1032.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE002,Environmental Compliance,MGEE_IND_004,Forestry Restoration Projects,356.0,389.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE002,Environmental Compliance,MGEE_IND_005,Environmental Compliance Reviews,737.0,693.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE003,Forestry Restoration,MGEE_IND_001,Environmental Inspections,348.0,355.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE003,Forestry Restoration,MGEE_IND_002,Climate Adaptation Activities,700.0,676.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE003,Forestry Restoration,MGEE_IND_003,Community Trainings Conducted,977.0,1082.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE003,Forestry Restoration,MGEE_IND_004,Forestry Restoration Projects,108.0,118.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE003,Forestry Restoration,MGEE_IND_005,Environmental Compliance Reviews,281.0,304.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE004,Green Economy,MGEE_IND_001,Environmental Inspections,970.0,1065.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE004,Green Economy,MGEE_IND_002,Climate Adaptation Activities,362.0,389.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE004,Green Economy,MGEE_IND_003,Community Trainings Conducted,2133.0,2318.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE004,Green Economy,MGEE_IND_004,Forestry Restoration Projects,95.0,101.0,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Chongwe,MGEE004,Green Economy,MGEE_IND_005,Environmental Compliance Reviews,818.0,,Chongwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE001,Climate Adaptation,MGEE_IND_001,Environmental Inspections,828.0,930.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE001,Climate Adaptation,MGEE_IND_002,Climate Adaptation Activities,743.0,676.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE001,Climate Adaptation,MGEE_IND_003,Community Trainings Conducted,951.0,947.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE001,Climate Adaptation,MGEE_IND_004,Forestry Restoration Projects,365.0,389.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE001,Climate Adaptation,MGEE_IND_005,Environmental Compliance Reviews,235.0,253.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE002,Environmental Compliance,MGEE_IND_001,Environmental Inspections,614.0,626.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE002,Environmental Compliance,MGEE_IND_002,Climate Adaptation Activities,650.0,761.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE002,Environmental Compliance,MGEE_IND_003,Community Trainings Conducted,2100.0,2216.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE002,Environmental Compliance,MGEE_IND_004,Forestry Restoration Projects,162.0,169.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE002,Environmental Compliance,MGEE_IND_005,Environmental Compliance Reviews,514.0,473.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE003,Forestry Restoration,MGEE_IND_001,Environmental Inspections,521.0,609.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE003,Forestry Restoration,MGEE_IND_002,Climate Adaptation Activities,1149.0,1167.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE003,Forestry Restoration,MGEE_IND_003,Community Trainings Conducted,795.0,846.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE003,Forestry Restoration,MGEE_IND_004,Forestry Restoration Projects,290.0,270.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE003,Forestry Restoration,MGEE_IND_005,Environmental Compliance Reviews,376.0,389.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE004,Green Economy,MGEE_IND_001,Environmental Inspections,320.0,338.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE004,Green Economy,MGEE_IND_002,Climate Adaptation Activities,965.0,930.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE004,Green Economy,MGEE_IND_003,Community Trainings Conducted,913.0,862.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE004,Green Economy,MGEE_IND_004,Forestry Restoration Projects,539.0,626.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Kafue,MGEE004,Green Economy,MGEE_IND_005,Environmental Compliance Reviews,460.0,541.0,Kafue Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE001,Climate Adaptation,MGEE_IND_001,Environmental Inspections,1079.0,1235.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE001,Climate Adaptation,MGEE_IND_002,Climate Adaptation Activities,386.0,389.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE001,Climate Adaptation,MGEE_IND_003,Community Trainings Conducted,1181.0,1252.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE001,Climate Adaptation,MGEE_IND_004,Forestry Restoration Projects,530.0,609.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE001,Climate Adaptation,MGEE_IND_005,Environmental Compliance Reviews,221.0,219.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE002,Environmental Compliance,MGEE_IND_001,Environmental Inspections,1609.0,1590.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE002,Environmental Compliance,MGEE_IND_002,Climate Adaptation Activities,869.0,981.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE002,Environmental Compliance,MGEE_IND_003,Community Trainings Conducted,2018.0,1962.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE002,Environmental Compliance,MGEE_IND_004,Forestry Restoration Projects,527.0,609.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE002,Environmental Compliance,MGEE_IND_005,Environmental Compliance Reviews,591.0,541.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE003,Forestry Restoration,MGEE_IND_001,Environmental Inspections,1839.0,1911.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE003,Forestry Restoration,MGEE_IND_002,Climate Adaptation Activities,428.0,473.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE003,Forestry Restoration,MGEE_IND_003,Community Trainings Conducted,1884.0,1827.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE003,Forestry Restoration,MGEE_IND_004,Forestry Restoration Projects,226.0,219.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE003,Forestry Restoration,MGEE_IND_005,Environmental Compliance Reviews,582.0,575.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE004,Green Economy,MGEE_IND_001,Environmental Inspections,1996.0,2030.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE004,Green Economy,MGEE_IND_002,Climate Adaptation Activities,829.0,879.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE004,Green Economy,MGEE_IND_003,Community Trainings Conducted,1666.0,1573.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE004,Green Economy,MGEE_IND_004,Forestry Restoration Projects,203.0,203.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Rufunsa,MGEE004,Green Economy,MGEE_IND_005,Environmental Compliance Reviews,486.0,541.0,Rufunsa Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE001,Climate Adaptation,MGEE_IND_001,Environmental Inspections,484.0,449.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE001,Climate Adaptation,MGEE_IND_002,Climate Adaptation Activities,951.0,994.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE001,Climate Adaptation,MGEE_IND_003,Community Trainings Conducted,1643.0,1758.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE001,Climate Adaptation,MGEE_IND_004,Forestry Restoration Projects,482.0,477.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE001,Climate Adaptation,MGEE_IND_005,Environmental Compliance Reviews,167.0,190.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE002,Environmental Compliance,MGEE_IND_001,Environmental Inspections,538.0,545.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE002,Environmental Compliance,MGEE_IND_002,Climate Adaptation Activities,673.0,695.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE002,Environmental Compliance,MGEE_IND_003,Community Trainings Conducted,542.0,517.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE002,Environmental Compliance,MGEE_IND_004,Forestry Restoration Projects,167.0,190.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE002,Environmental Compliance,MGEE_IND_005,Environmental Compliance Reviews,218.0,231.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE003,Forestry Restoration,MGEE_IND_001,Environmental Inspections,-1577.0,1458.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE003,Forestry Restoration,MGEE_IND_002,Climate Adaptation Activities,974.0,967.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE003,Forestry Restoration,MGEE_IND_003,Community Trainings Conducted,987.0,1117.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE003,Forestry Restoration,MGEE_IND_004,Forestry Restoration Projects,431.0,490.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE003,Forestry Restoration,MGEE_IND_005,Environmental Compliance Reviews,223.0,258.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE004,Green Economy,MGEE_IND_001,Environmental Inspections,1347.0,1376.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE004,Green Economy,MGEE_IND_002,Climate Adaptation Activities,962.0,1022.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE004,Green Economy,MGEE_IND_003,Community Trainings Conducted,1744.0,2003.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE004,Green Economy,MGEE_IND_004,Forestry Restoration Projects,190.0,190.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Ndola,MGEE004,Green Economy,MGEE_IND_005,Environmental Compliance Reviews,139.0,163.0,Ndola Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Kitwe,MGEE001,Climate Adaptation,MGEE_IND_001,Environmental Inspections,1124.0,1063.0,Kitwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Kitwe,MGEE001,Climate Adaptation,MGEE_IND_002,Climate Adaptation Activities,553.0,558.0,Kitwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Kitwe,MGEE001,Climate Adaptation,MGEE_IND_003,Community Trainings Conducted,844.0,790.0,Kitwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Kitwe,MGEE001,Climate Adaptation,MGEE_IND_004,Forestry Restoration Projects,110.0,122.0,Kitwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Copperbelt,Kitwe,MGEE001,Climate Adaptation,MGEE_IND_005,Environmental Compliance Reviews,435.0,436.0,Kitwe Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
